UIC,Parent_UIC,Stationsnavn,Forkortelse,Region nr,Region navn,Kommune nr,Kommune navn,FjernRegional,Stog,KystKastrup,Arriva,Metro,Privatbane,Letbane,Border,Øst,Vest,H-omr,Lukket,Planlagt station,LTM_ID,LTM_ID_1,LTM_ID_S,LTM_ID_M,LTM_ID_LB,LTM_ID_PB,OTM_ID,OTM_ID_1,OTM_ID_S,OTM_ID_LB,X-koordinat,Y-koordinat
8601709,,Frederiksværk,0,1084,Hovedstaden,260,Halsnæs,0,0,0,0,0,1,0,0,1,0,1,0,0,8601709,0,0,0,0,0,0,0,0,0,0,0
8601707,,Dyssekilde,0,1084,Hovedstaden,260,Halsnæs,0,0,0,0,0,1,0,0,1,0,1,0,0,8601707,0,0,0,0,0,0,0,0,0,0,0
8601705,,Brødeskov,0,1084,Hovedstaden,219,Hillerød,0,0,0,0,0,1,0,0,1,0,1,0,0,8601705,0,0,0,0,0,0,0,0,0,0,0
8601633,,Ålsgårde,0,1084,Hovedstaden,217,Helsingør,0,0,0,0,0,1,0,0,1,0,1,0,0,8601633,0,0,0,0,0,0,0,0,0,0,0
8601631,,Søborg (Gilleleje),0,1084,Hovedstaden,270,Gribskov,0,0,0,0,0,1,0,0,1,0,1,0,0,8601631,0,0,0,0,0,0,0,0,0,0,0
8601630,,Stæremosen,0,1084,Hovedstaden,270,Gribskov,0,0,0,0,0,1,0,0,1,0,1,0,0,8601630,0,0,0,0,0,0,0,0,0,0,0
8601627,,Skibstrup,0,1084,Hovedstaden,217,Helsingør,0,0,0,0,0,1,0,0,1,0,1,0,0,8601627,0,0,0,0,0,0,0,0,0,0,0
8601625,,Saunte,0,1084,Hovedstaden,217,Helsingør,0,0,0,0,0,1,0,0,1,0,1,0,0,8601625,0,0,0,0,0,0,0,0,0,0,0
8601623,,Marienlyst,0,1084,Hovedstaden,217,Helsingør,0,0,0,0,0,1,0,0,1,0,1,0,0,8601623,0,0,0,0,0,0,0,0,0,0,0
8601621,,Kildekrog,0,1084,Hovedstaden,217,Helsingør,0,0,0,0,0,1,0,0,1,0,1,0,0,8601621,0,0,0,0,0,0,0,0,0,0,0
8601620,,Karinebæk,0,1084,Hovedstaden,217,Helsingør,0,0,0,0,0,1,0,0,1,0,1,0,0,8601620,0,0,0,0,0,0,0,0,0,0,0
8601617,,Højstrup,0,1084,Hovedstaden,217,Helsingør,0,0,0,0,0,1,0,0,1,0,1,0,0,8601617,0,0,0,0,0,0,0,0,0,0,0
8601615,,Horneby Sand,0,1084,Hovedstaden,217,Helsingør,0,0,0,0,0,1,0,0,1,0,1,0,0,8601615,0,0,0,0,0,0,0,0,0,0,0
8601613,,Hornbæk,0,1084,Hovedstaden,217,Helsingør,0,0,0,0,0,1,0,0,1,0,1,0,0,8601613,0,0,0,0,0,0,0,0,0,0,0
8601607,,Hellebæk,0,1084,Hovedstaden,217,Helsingør,0,0,0,0,0,1,0,0,1,0,1,0,0,8601607,0,0,0,0,0,0,0,0,0,0,0
8601606,,Grønnehave (Helsingør),0,1084,Hovedstaden,217,Helsingør,0,0,0,0,0,1,0,0,1,0,1,0,0,8601606,0,0,0,0,0,0,0,0,0,0,0
8601604,,Gilleleje Øst,0,1084,Hovedstaden,270,Gribskov,0,0,0,0,0,1,0,0,1,0,1,0,0,8601604,0,0,0,0,0,0,0,0,0,0,0
8601603,,Firhøj (Gilleleje),0,1084,Hovedstaden,270,Gribskov,0,0,0,0,0,1,0,0,1,0,1,0,0,8601603,0,0,0,0,0,0,0,0,0,0,0
8601601,,Dronningmølle,0,1084,Hovedstaden,270,Gribskov,0,0,0,0,0,1,0,0,1,0,1,0,0,8601601,0,0,0,0,0,0,0,0,0,0,0
8601528,,Øllegårdsvej,0,1082,Midtjylland,751,Aarhus,0,0,0,0,0,0,1,0,0,0,0,0,0,8601528,0,0,0,1608601528,0,0,0,0,0,0,0
8601526,,Vilhelmsborg,0,1082,Midtjylland,751,Aarhus,0,0,0,0,0,0,1,0,0,1,0,0,0,8601526,0,0,0,1608601526,0,0,0,0,0,0,0
8601523,,Tranbjerg,0,1082,Midtjylland,751,Aarhus,0,0,0,0,0,0,1,0,0,1,0,0,0,8601523,0,0,0,1608601523,0,0,0,0,0,0,0
8601522,,Fude Havvej,0,1082,Midtjylland,727,Odder,0,0,0,0,0,1,0,0,1,0,1,0,0,8601522,0,0,0,0,0,0,0,0,0,0,0
8601521,,Rosenhøj,0,1082,Midtjylland,751,Aarhus,0,0,0,0,0,0,1,0,0,1,0,0,0,8601521,0,0,0,1608601521,0,0,0,0,0,0,0
8601520,,Parkvej,0,1082,Midtjylland,727,Odder,0,0,0,0,0,1,0,0,1,0,1,0,0,8601520,0,0,0,1608601520,0,0,0,0,0,0,0
